project_id,package_id,scope,dataset_id,version,project_num,title,shortname,search_column_1
100,knb-lter-jrn.100.3,knb-lter-jrn,100,3,100,High resolution shrub cover raster maps of the Jornada Basin,NA,Study 100
101,knb-lter-jrn.101.1,knb-lter-jrn,101,1,101,Thresholds and alternative states in neotropical dry forest,NA,Study 101
200021,knb-lter-jrn.200021001.4,knb-lter-jrn,200021001,4,NA,NA,NA,Study NA
200022,knb-lter-jrn.200022001.1,knb-lter-jrn,200022001,1,22,Criollo and crossbred steer comparison,NA,Study 022
200045,knb-lter-jrn.200045001.2,knb-lter-jrn,200045001,2,NA,NA,NA,Study NA
210001,knb-lter-jrn.210001002.76,knb-lter-jrn,210001002,76,1,Hydrology-Runoff-Plots,HYDRPLOT,Study 001 - HYDRPLOT
210001,knb-lter-jrn.210001003.79,knb-lter-jrn,210001003,79,1,Hydrology-Runoff-Plots,HYDRPLOT,Study 001 - HYDRPLOT
210001,knb-lter-jrn.210001001.62,knb-lter-jrn,210001001,62,1,Hydrology-Runoff-Plots,HYDRPLOT,Study 001 - HYDRPLOT
210002,knb-lter-jrn.210002001.127,knb-lter-jrn,210002001,127,2,NPP GRG precipitation,NPP_GRG,Study 002 - NPP_GRG
210007,knb-lter-jrn.210007001.37,knb-lter-jrn,210007001,37,7,LTER II pitfall lizards at NPP sites,LIZRDPIT,Study 007 - LIZRDPIT
210008,knb-lter-jrn.210008001.60,knb-lter-jrn,210008001,60,8,Pitfall Arthropods near LTER II NPP sites,ARTHPIT2,Study 008 - ARTHPIT2
210008,knb-lter-jrn.210008002.2,knb-lter-jrn,210008002,2,8,Pitfall Arthropods near LTER II NPP sites,ARTHPIT2,Study 008 - ARTHPIT2
210010,knb-lter-jrn.210010001.75,knb-lter-jrn,210010001,75,10,Termite bait decomposition grids at NPP sites,TERMBAIT,Study 010 - TERMBAIT
210011,knb-lter-jrn.210011005.105,knb-lter-jrn,210011005,105,11,LTER II plant net primary production in 5 dominant vegetation zones at 15 sites,NPPVEG,Study 011 - NPPVEG
210011,knb-lter-jrn.210011004.83,knb-lter-jrn,210011004,83,11,LTER II plant net primary production in 5 dominant vegetation zones at 15 sites,NPPVEG,Study 011 - NPPVEG
210011,knb-lter-jrn.210011003.104,knb-lter-jrn,210011003,104,11,LTER II plant net primary production in 5 dominant vegetation zones at 15 sites,NPPVEG,Study 011 - NPPVEG
210011,knb-lter-jrn.210011002.107,knb-lter-jrn,210011002,107,11,LTER II plant net primary production in 5 dominant vegetation zones at 15 sites,NPPVEG,Study 011 - NPPVEG
210011,knb-lter-jrn.210011001.1,knb-lter-jrn,210011001,1,11,LTER II plant net primary production in 5 dominant vegetation zones at 15 sites,NPPVEG,Study 011 - NPPVEG
210012,knb-lter-jrn.210012002.127,knb-lter-jrn,210012002,127,12,LTER-I Transects soil water content measurements,TRANSWC,Study 012 - TRANSWC
210012,knb-lter-jrn.210012001.139,knb-lter-jrn,210012001,139,12,LTER-I Transects soil water content measurements,TRANSWC,Study 012 - TRANSWC
210013,knb-lter-jrn.210013002.71,knb-lter-jrn,210013002,71,13,LTER II soil water content - NPP sites,NPPSWC,Study 013 - NPPSWC
210013,knb-lter-jrn.210013001.62,knb-lter-jrn,210013001,62,13,LTER II soil water content - NPP sites,NPPSWC,Study 013 - NPPSWC
210013,knb-lter-jrn.210013003.16,knb-lter-jrn,210013003,16,13,LTER II soil water content - NPP sites,NPPSWC,Study 013 - NPPSWC
210015,knb-lter-jrn.210015002.45,knb-lter-jrn,210015002,45,15,LTER I Transect biomass harvests on Control and Treatment transects,TRANBIOM,Study 015 - TRANBIOM
210015,knb-lter-jrn.210015003.49,knb-lter-jrn,210015003,49,15,LTER I Transect biomass harvests on Control and Treatment transects,TRANBIOM,Study 015 - TRANBIOM
210015,knb-lter-jrn.210015001.48,knb-lter-jrn,210015001,48,15,LTER I Transect biomass harvests on Control and Treatment transects,TRANBIOM,Study 015 - TRANBIOM
210086,knb-lter-jrn.210086002.95,knb-lter-jrn,210086002,95,86,Jornada Small Mammal Exclosure Study,SMES,Study 086 - SMES
210086,knb-lter-jrn.210086003.73,knb-lter-jrn,210086003,73,86,Jornada Small Mammal Exclosure Study,SMES,Study 086 - SMES
210086,knb-lter-jrn.210086008.61,knb-lter-jrn,210086008,61,86,Jornada Small Mammal Exclosure Study,SMES,Study 086 - SMES
210086,knb-lter-jrn.210086001.63,knb-lter-jrn,210086001,63,86,Jornada Small Mammal Exclosure Study,SMES,Study 086 - SMES
210086,knb-lter-jrn.210086009.74,knb-lter-jrn,210086009,74,86,Jornada Small Mammal Exclosure Study,SMES,Study 086 - SMES
210086,knb-lter-jrn.210086007.90,knb-lter-jrn,210086007,90,86,Jornada Small Mammal Exclosure Study,SMES,Study 086 - SMES
210086,knb-lter-jrn.210086004.104,knb-lter-jrn,210086004,104,86,Jornada Small Mammal Exclosure Study,SMES,Study 086 - SMES
210086,knb-lter-jrn.210086005.92,knb-lter-jrn,210086005,92,86,Jornada Small Mammal Exclosure Study,SMES,Study 086 - SMES
210086,knb-lter-jrn.210086006.83,knb-lter-jrn,210086006,83,86,Jornada Small Mammal Exclosure Study,SMES,Study 086 - SMES
210119,knb-lter-jrn.210119001.128,knb-lter-jrn,210119001,128,119,LTER-I transect vegetation plant line intercept study,TRANPLI,Study 119 - TRANPLI
210120,knb-lter-jrn.210120002.85,knb-lter-jrn,210120002,85,120,LTER-I fenceline vegetation plant line intercept study,FENCE,Study 120 - FENCE
210120,knb-lter-jrn.210120001.91,knb-lter-jrn,210120001,91,120,LTER-I fenceline vegetation plant line intercept study,FENCE,Study 120 - FENCE
210121,knb-lter-jrn.210121005.78,knb-lter-jrn,210121005,78,121,Biodiversity experiment in Pasture 10 on College Ranch (CDRRC),BIODVSTY,Study 121 - BIODVSTY
210121,knb-lter-jrn.210121008.72,knb-lter-jrn,210121008,72,121,Biodiversity experiment in Pasture 10 on College Ranch (CDRRC),BIODVSTY,Study 121 - BIODVSTY
210121,knb-lter-jrn.210121001.49,knb-lter-jrn,210121001,49,121,Biodiversity experiment in Pasture 10 on College Ranch (CDRRC),BIODVSTY,Study 121 - BIODVSTY
210121,knb-lter-jrn.210121006.68,knb-lter-jrn,210121006,68,121,Biodiversity experiment in Pasture 10 on College Ranch (CDRRC),BIODVSTY,Study 121 - BIODVSTY
210122,knb-lter-jrn.210122001.87,knb-lter-jrn,210122001,87,122,Crust Evolution at Scrape Site,CRUSTEVO,Study 122 - CRUSTEVO
210126,knb-lter-jrn.210126003.100,knb-lter-jrn,210126003,100,126,Jornada LTER Weather Station,LTERWS,Study 126 - LTERWS
210126,knb-lter-jrn.210126001.119,knb-lter-jrn,210126001,119,126,Jornada LTER Weather Station,LTERWS,Study 126 - LTERWS
210127,knb-lter-jrn.210127001.111,knb-lter-jrn,210127001,111,127,Jornada LTER evaporation pan data,NA,Study 127
210128,knb-lter-jrn.210128002.3,knb-lter-jrn,210128002,3,128,Wetfall and Dryfall deposition chemistry data,NA,Study 128
