id,project_id,packageid,scope,datasetid,version,resnotif_id,project_title
knb-lter-jrn.100,100,knb-lter-jrn.100.3,knb-lter-jrn,100,3,NA,NA
knb-lter-jrn.101,101,knb-lter-jrn.101.1,knb-lter-jrn,101,1,NA,NA
knb-lter-jrn.200021001,200021,knb-lter-jrn.200021001.3,knb-lter-jrn,200021001,3,NA,NA
knb-lter-jrn.200022001,200022,knb-lter-jrn.200022001.1,knb-lter-jrn,200022001,1,NA,NA
knb-lter-jrn.210001002,210001,knb-lter-jrn.210001002.76,knb-lter-jrn,210001002,76,1,Hydrology-Runoff-Plots
knb-lter-jrn.210001003,210001,knb-lter-jrn.210001003.79,knb-lter-jrn,210001003,79,1,Hydrology-Runoff-Plots
knb-lter-jrn.210001001,210001,knb-lter-jrn.210001001.62,knb-lter-jrn,210001001,62,1,Hydrology-Runoff-Plots
knb-lter-jrn.210002001,210002,knb-lter-jrn.210002001.127,knb-lter-jrn,210002001,127,2,NPP GRG precipitation
knb-lter-jrn.210007001,210007,knb-lter-jrn.210007001.37,knb-lter-jrn,210007001,37,7,LTER II pitfall lizards at NPP sites
knb-lter-jrn.210008001,210008,knb-lter-jrn.210008001.60,knb-lter-jrn,210008001,60,8,Pitfall Arthropods near LTER II NPP sites
knb-lter-jrn.210008002,210008,knb-lter-jrn.210008002.2,knb-lter-jrn,210008002,2,8,Pitfall Arthropods near LTER II NPP sites
knb-lter-jrn.210010001,210010,knb-lter-jrn.210010001.75,knb-lter-jrn,210010001,75,10,Termite bait decomposition grids at NPP sites
knb-lter-jrn.210011004,210011,knb-lter-jrn.210011004.82,knb-lter-jrn,210011004,82,11,LTER II plant net primary production in 5 dominant vegetation zones at 15 sites
knb-lter-jrn.210011002,210011,knb-lter-jrn.210011002.106,knb-lter-jrn,210011002,106,11,LTER II plant net primary production in 5 dominant vegetation zones at 15 sites
knb-lter-jrn.210011003,210011,knb-lter-jrn.210011003.104,knb-lter-jrn,210011003,104,11,LTER II plant net primary production in 5 dominant vegetation zones at 15 sites
knb-lter-jrn.210011005,210011,knb-lter-jrn.210011005.105,knb-lter-jrn,210011005,105,11,LTER II plant net primary production in 5 dominant vegetation zones at 15 sites
knb-lter-jrn.210011001,210011,knb-lter-jrn.210011001.1,knb-lter-jrn,210011001,1,11,LTER II plant net primary production in 5 dominant vegetation zones at 15 sites
knb-lter-jrn.210012002,210012,knb-lter-jrn.210012002.127,knb-lter-jrn,210012002,127,12,LTER-I Transects soil water content measurements
knb-lter-jrn.210012001,210012,knb-lter-jrn.210012001.139,knb-lter-jrn,210012001,139,12,LTER-I Transects soil water content measurements
knb-lter-jrn.210013003,210013,knb-lter-jrn.210013003.16,knb-lter-jrn,210013003,16,13,LTER II soil water content - NPP sites
knb-lter-jrn.210013001,210013,knb-lter-jrn.210013001.62,knb-lter-jrn,210013001,62,13,LTER II soil water content - NPP sites
knb-lter-jrn.210013002,210013,knb-lter-jrn.210013002.71,knb-lter-jrn,210013002,71,13,LTER II soil water content - NPP sites
knb-lter-jrn.210015002,210015,knb-lter-jrn.210015002.45,knb-lter-jrn,210015002,45,15,LTER I Transect biomass harvests on Control and Treatment transects
knb-lter-jrn.210015003,210015,knb-lter-jrn.210015003.49,knb-lter-jrn,210015003,49,15,LTER I Transect biomass harvests on Control and Treatment transects
knb-lter-jrn.210015001,210015,knb-lter-jrn.210015001.48,knb-lter-jrn,210015001,48,15,LTER I Transect biomass harvests on Control and Treatment transects
knb-lter-jrn.210086004,210086,knb-lter-jrn.210086004.104,knb-lter-jrn,210086004,104,86,Jornada Small Mammal Exclosure Study
knb-lter-jrn.210086001,210086,knb-lter-jrn.210086001.63,knb-lter-jrn,210086001,63,86,Jornada Small Mammal Exclosure Study
knb-lter-jrn.210086008,210086,knb-lter-jrn.210086008.61,knb-lter-jrn,210086008,61,86,Jornada Small Mammal Exclosure Study
knb-lter-jrn.210086009,210086,knb-lter-jrn.210086009.74,knb-lter-jrn,210086009,74,86,Jornada Small Mammal Exclosure Study
knb-lter-jrn.210086002,210086,knb-lter-jrn.210086002.95,knb-lter-jrn,210086002,95,86,Jornada Small Mammal Exclosure Study
knb-lter-jrn.210086006,210086,knb-lter-jrn.210086006.83,knb-lter-jrn,210086006,83,86,Jornada Small Mammal Exclosure Study
